species,n_date,n_loc
Cepphis advenaria,551,405
Cepphus grylle,1179,62
Ceraclea senilis,560,393
Ceraleptus lividus,353,249
Ceramica pisi,439,152
Cerapteryx graminis,703,435
Cerastis rubricosa,508,318
Cerastium arvense,2629,1119
Cerastium diffusum,516,128
Cerastium fontanum,3570,1899
Cerastium glomeratum,3927,1942
Cerastium holosteoides,3980,1931
Cerastium semidecandrum,2592,1312
Cerastium tomentosum,1363,870
Cerastoderma edule,3303,463
Cerastoderma glaucum,712,195
Ceratiomyxa fruticulosa,1229,747
Ceratocapnos claviculata,4278,1038
Ceratodon purpureus,2694,1331
Ceratophyllum demersum,2279,1232
Cerceris arenaria,837,787
Cerceris quadricincta,419,361
Cerceris rybyensis,1299,1148
Cercopis vulnerata,951,1750
Ceriagrion tenellum,1835,758
Ceriana conopsoides,449,355
Cernuella cisalpina,425,160
Cernuella virgata,1821,357
Certhia brachydactyla,5844,2058
Certhia familiaris,2025,241
Cerura erminea,382,319
Cerura vinula,1448,462
Cervus elaphus,5032,197
Cetraria aculeata,957,209
Cettia cetti,5274,909
Chaenomeles japonica,641,464
Chaenorhinum minus,2018,615
Chaenorhinum origanifolium,354,130
Chaenostoma cordatum,581,310
Chaenotheca brachypoda,514,207
Chaenotheca chlorella,427,175
Chaenotheca ferruginea,848,229
Chaenotheca trichialis,922,360
Chaerophyllum bulbosum,766,88
Chaerophyllum temulum,2931,920
Chalciporus piperatus,371,254
Chalcolestes viridis,2499,1899
Chalcosyrphus nemorum,1083,635
Chalcosyrphus piger,528,205
Chamaecyparis lawsoniana,534,253
Chamaenerion angustifolium,3201,1714
Chamaesphecia tenthrediniformis,393,93
Chamelea striatula,2474,166
Chara globularis,337,185
Chara virgata,385,213
Chara vulgaris,589,312
Charadrius alexandrinus,1543,238
Charadrius dubius,526,163
Charadrius hiaticula,5646,1037
Charadrius morinellus,1210,415
Charanyca ferruginea,809,681
Charanyca trigrammica,620,823
Cheilosia albitarsis,644,720
Cheilosia bergenstammi,595,468
Cheilosia caerulescens,841,608
Cheilosia himantopus,315,127
Cheilosia illustrata,1234,903
Cheilosia impressa,495,338
Cheilosia morio,2220,1156
Cheilosia pagana,1873,1193
Cheilosia scutellata,464,266
Cheilosia semifasciata,343,239
Cheilosia variabilis,444,285
Chelidonium majus,4943,1838
Chelidurella acanthopygia,525,209
Chelon labrosus,413,129
Chelostoma florisomne,467,479
Chelostoma rapunculi,712,752
Chenonetta jubata,372,163
Chenopodiastrum hybridum,505,178
Chenopodiastrum murale,733,143
Chenopodium album,3538,1976
Chenopodium ficifolium,1916,1080
Chesias legatella,410,238
Chiasmia clathrata,2096,1316
Chilacis typhae,545,355
Chilo phragmitella,946,652
Chilocorus bipustulatus,1795,687
Chilocorus renipustulatus,1610,820
Chilodes maritima,412,380
Chlidonias hybrida,1925,273
Chlidonias leucopterus,1188,238
Chlidonias niger,2849,792
Chloris chloris,5844,1994
Chlorochroa pinicola,961,362
Chloroclysta siterata,1502,750
Chloroclystis v-ata,1625,1301
Chloromyia formosa,1288,1773
Chlorophanus viridis,728,773
Chlorophyllum rhacodes,487,423
Chondrostereum purpureum,1984,1354
Chondrus crispus,415,96
Chorisops tibialis,332,320
Choristoneura hebenstreitella,425,807
Chorosoma schillingii,525,243
Chorthippus albomarginatus,1715,1488
Chorthippus biguttulus,1876,1512
Chorthippus brunneus,2075,1894
Chorthippus mollis,1054,613
Chroicocephalus ridibundus,5844,2087
Chromocyphella muscicola,1050,517
Chrysaora hysoscella,1678,191
Chrysochraon dispar,1413,357
Chrysochromulina parva,328,217
Chrysodeixis chalcites,831,492
Chrysoesthia drurella,482,367
Chrysogaster hirtella,559,668
Chrysogaster solstitialis,753,513
Chrysolina americana,2235,1026
Chrysolina coerulans,1993,1049
Chrysolina fastuosa,1462,805
Chrysolina graminis,665,187
Chrysolina haemoptera,443,303
Chrysolina hyperici,355,250
Chrysolina oricalcia,581,652
Chrysolina sturmi,318,244
Chrysolina varians,422,224
Chrysomela polita,1641,922
Chrysomela populi,1685,985
Chrysomela vigintipunctata,629,654
Chrysopa perla,898,803
Chrysoperla carnea,2262,1392
Chrysopilus asiliformis,591,594
Chrysopilus cristatus,908,1177
Chrysops caecutiens,328,165
Chrysops relictus,1394,1504
Chrysops viduatus,361,222
Chrysosplenium alternifolium,549,58
Chrysosplenium oppositifolium,1864,125
Chrysoteuchia culmella,1540,1872
Chrysothrix candelaris,329,62
Chrysotoxum bicincta,618,395
Chrysotoxum cautum,897,1047
Chrysotoxum festivum,638,383
Chymomyza amoena,556,337
Ciboria batschiana,348,298
Cicadella viridis,1760,1542
Cicendia filiformis,812,87
Cichorium intybus,3024,1885
Cicindela campestris,1989,703
Cicindela hybrida,2423,1119
Ciconia ciconia,5843,1978
Ciconia nigra,2421,1397
Cicuta virosa,1829,324
Cidaria fulvata,554,616
Ciliata mustela,446,90
Cilix glaucata,1057,307
Cinclidotus fontinaloides,359,119
Cinclus cinclus,1335,111
Cionus tuberculosus,388,215
Circaea lutetiana,2690,1045
Circaetus gallicus,1279,215
Circinaria calcarea,797,400
Circinaria contorta,2692,1300
Circus aeruginosus,5742,1835
Circus cyaneus,4910,1782
Circus macrourus,1365,586
Circus pygargus,2225,732
Cirsium arvense,4785,2102
Cirsium dissectum,1304,150
Cirsium oleraceum,941,149
Cirsium palustre,3890,1481
Cirsium vulgare,5147,2066
Cisticola juncidis,1395,209
Cistogaster globosa,324,230
Cladium mariscus,1308,133
Cladonia arbuscula,553,166
Cladonia caespiticia,588,263
Cladonia cervicornis,537,163
Cladonia chlorophaea,763,375
Cladonia ciliata,1169,120
Cladonia coccifera,2321,373
Cladonia coniocraea,1739,681
Cladonia digitata,493,146
Cladonia fimbriata,3035,1260
Cladonia floerkeana,1942,408
Cladonia foliacea,2417,300
Cladonia furcata,3001,947
Cladonia glauca,558,277
Cladonia gracilis,785,188
Cladonia grayi,2151,675
Cladonia humilis,1642,743
Cladonia macilenta,1555,417
Cladonia pocillum,694,101
Cladonia portentosa,3305,554
Cladonia ramulosa,1914,554
Cladonia rangiformis,1759,316
Cladonia scabriuscula,1185,528
Cladonia strepsilis,545,82
Cladonia subulata,1273,481
Cladonia uncialis,979,183
Cladonia zopfii,410,119
Clangula hyemalis,2718,281
Clathrus archeri,876,179
Clausilia bidentata,1362,210
Clavaria argillacea,1009,465
Claviceps purpurea,338,247
Clavulina coralloides,764,433
Claytonia perfoliata,3301,1593
Claytonia sibirica,2491,980
Clematis vitalba,3974,1047
Clepsis consimilana,1483,1104
Clepsis dumicolana,1270,521
Clepsis pallidana,318,61
Clepsis spectrana,1369,856
Clethra alnifolia,416,211
Climacium dendroides,1062,361
Clinopodium acinos,1253,59
Clinopodium calamintha,745,309
Clinopodium vulgare,1541,357
Cliostomum griffithii,489,221
Clitocybe nebularis,1214,1230
Clitocybe odora,874,870
Clitopilus prunulus,313,179
Clivina fossor,302,268
Cloeon dipterum,2341,1663
Cloeon simile,524,292
Clogmia albipunctatus,2239,1414
Clostera anachoreta,377,223
Clostera curtula,1151,827
Clostera pigra,686,273
Closterotomus fulvomaculatus,626,577
Closterotomus norvegicus,840,1115
Closterotomus trivialis,560,296
Clubiona comta,473,301
Clubiona corticalis,455,297
Clupea harengus,1570,228
Clytus arietis,1679,1875
Cobitis taenia,2972,988
Coccidula rufa,597,354
Coccidula scutellata,604,394
Coccinella hieroglyphica,440,171
Coccinella magnifica,308,103
Coccinella quinquepunctata,1737,710
Coccinella septempunctata,4727,2090
Coccinella undecimpunctata,2133,1101
Coccothraustes coccothraustes,5371,1500
Cochlearia anglica,1040,123
Cochlearia danica,2463,1315
Cochlearia officinalis,519,59
Cochlicopa lubrica,1519,753
Cochylis atricapitana,1304,753
Cochylis dubitana,845,509
Codium fragile,397,57
Coenagrion lunulatum,634,104
Coenagrion puella,2059,1933
Coenagrion pulchellum,1928,1507
Coenagrion scitulum,1003,498
Coenobia rufa,328,329
Coenogonium pineti,898,422
Coenonympha pamphilus,2610,1836
Coincya monensis,645,110
Colchicum autumnale,1143,132
Colchicum byzantinum,379,205
Coleocentrus excitator,453,472
Coleosporium tussilaginis,716,439
Colias croceus,1710,1854
Colias hyale,980,718
Colletes cunicularius,749,776
Colletes daviesanus,850,1043
Colletes hederae,371,288
Collita griseola,1257,1364
Collybiopsis confluens,582,264
Collybiopsis peronata,571,374
Collybiopsis ramealis,328,192
Colocasia coryli,1675,1032
Coloeus monedula,5844,2060
Colomerus vitis,578,401
Colostygia pectinataria,1372,1302
Colotois pennaria,1205,1201
Coltricia perennis,553,206
Columba livia,3638,996
Columba oenas,5842,2011
Columba palumbus,5844,2128
Colutea arborescens,458,186
Colymbetes fuscus,359,274
Comarum palustre,2619,728
Comatricha nigra,327,208
Comibaena bajularia,501,773
Compsobata cibaria,352,287
Conistra erythrocephala,1420,557
Conistra rubiginea,772,384
Conistra rubiginosa,1975,803
Conistra vaccinii,2618,1189
Conium maculatum,1535,579
Conocephalum conicum,478,70
Conocephalus dorsalis,1755,1582
Conocephalus fuscus,1840,1523
Conocybe apala,428,575
Conopeum reticulum,321,107
Conops quadrifasciatus,488,387
Convallaria majalis,2790,1202
Convolvulus arvensis,2675,1379
Convolvulus sepium,3604,2015
Coprinellus disseminatus,1401,849
Coprinellus micaceus,710,612
Coprinopsis atramentaria,1079,755
Coprinopsis lagopus,998,825
Coprinopsis picacea,780,172
Coprinus comatus,2231,1960
Coptotriche marginea,766,471
Corbicula fluminea,2195,746
Cordulia aenea,1530,1330
Cordyceps militaris,1237,739
Coremacera marginata,926,650
Coreopsis tinctoria,779,888
Coreus marginatus,3278,1874
Coriandrum sativum,328,264
Coriomeris denticulatus,855,691
Corispermum pallasii,1566,402
Corizus hyoscyami,2144,1392
Cornu aspersum,3984,1894
Cornus mas,1622,1009
Cornus sanguinea,4008,1663
Cornus sericea,1183,662
Coronella austriaca,2174,140
Coronilla varia,2226,759
Cortinarius alboviolaceus,345,253
Cortinarius bolaris,616,250
Cortinarius semisanguineus,473,248
Cortinarius trivialis,319,146
Cortinarius violaceus,451,196
Corvus corax,5051,1288
Corvus cornix,2591,374
Corvus corone,5844,2140
Corvus frugilegus,5517,1542
Corydalis cava,788,310
Corydalis solida,1064,938
Corylus avellana,5138,1834
Corynephorus canescens,3727,509
Corystes cassivelaunus,764,84
Corythucha ciliata,439,127
Coscinia cribraria,870,201
Cosmia affinis,384,238
Cosmia pyralina,379,393
Cosmia trapezina,1310,1294
Cosmopterix zieglerella,509,301
Cosmorhoe ocellata,1285,568
Cosmos bipinnatus,1098,1116
Cossus cossus,2245,1676
Costaconvexa polygrammata,410,158
Cota tinctoria,2233,1288
Cotoneaster bullatus,300,230
Cottus perifretum,601,224
Cotula australis,372,71
Cotula coronopifolia,2366,477
Coturnix coturnix,1868,968
Crabro cribrarius,499,609
Crabro peltarius,774,1020
Crabro scutellatus,453,422
Crambe maritima,2771,247
Crambus nemorella,909,1088
Crambus pascuella,1226,1252
Crambus perlellus,1469,1176
Crambus pratella,736,788
Crangon crangon,1155,190
Crangonyx pseudogracilis,349,350
Craniophora ligustri,1473,1263
Crassa unitella,910,903
Crassula helmsii,2195,740
Crassula tillaea,1880,545
Crataegus laevigata,1187,542
Crataegus monogyna,4780,1964
Craterium minutum,354,226
Cratichneumon coruscator,341,271
Crepidodera aurata,1318,875
Crepidotus mollis,609,321
Crepidula fornicata,2329,232
Crepis biennis,2135,1161
Crepis capillaris,3829,1963
Crepis paludosa,432,55
Crepis vesicaria,551,237
Crex crex,941,271
Crinipellis scabella,576,298
Crioceris asparagi,1008,601
Crioceris duodecimpunctata,547,167
Criorhina berberina,605,537
Criorhina floccosa,394,326
Crithmum maritimum,2333,142
Crocallis elinguaria,1074,1092
Crocidura russula,3989,1547
Crocothemis erythraea,1905,1486
Crocus speciosus,337,330
Crocus tommasinianus,783,1164
Crocus vernus,658,896
Cruciata laevipes,1744,258
Crucibulum crucibuliforme,662,335
Crudosilis ruficollis,348,315
Cryphaea heteromalla,868,464
Cryphia algae,760,998
Crypteffigies lanius,453,589
Cryptoblabes bistriga,557,327
Cryptocephalus moraei,619,538
Cryptocephalus ocellatus,449,442
Cryptomyzus ribis,673,499
Cryptosiphum artemisiae,530,368
Crytea erythraea,642,427
Ctenichneumon panzeri,402,397
Cteniopus sulphureus,407,192
Ctenolepisma longicaudatum,2395,1076
Ctenopharyngodon idella,937,443
Ctenophora festiva,691,868
Ctenophora pectinicornis,577,808
Cucujus cinnaberinus,364,111
Cucullia absinthii,316,223
Cucullia chamomillae,473,442
Cucullia umbratica,792,570
Cucullia verbasci,535,474
Cuculus canorus,2788,1781
Cudoniella acicularis,430,230
Culiseta annulata,622,450
Cuphophyllus virgineus,654,439
Curculio glandium,586,571
Curculio venosus,537,529
Cuscuta campestris,458,105
Cuscuta epithymum,1191,282
Cuscuta europaea,1250,208
Cuscuta lupuliformis,851,144
Cyanea lamarckii,1142,174
Cyanistes caeruleus,5844,2123
Cyanosporus caesius,512,293
Cyathus olla,663,426
Cyathus striatus,1398,629
Cybister lateralimarginalis,1226,765
Cybosia mesomella,635,441
Cychramus luteus,380,330
Cychrus caraboides,443,200
Cyclamen hederifolium,702,263
Cyclophora albipunctata,1447,636
Cyclophora linearia,1286,803
Cyclophora punctaria,1876,1278
Cyclosa conica,648,331
Cydalima perspectalis,2523,1899
Cydia amplana,692,933
Cydia fagiglandana,528,288
Cydia pomonella,1252,840
Cydia splendana,1197,1053
Cygnus atratus,5572,1190
Cygnus columbianus,2876,1209
Cygnus cygnus,3732,1171
Cygnus melancoryphus,472,135
Cygnus olor,5844,2022
Cylindroiulus punctatus,392,285
Cylindromyia bicolor,453,210
Cylista troglodytes,400,91
Cymatia coleoptrata,370,218
Cymatophorina diluta,362,132
Cymbalaria muralis,4589,1381
Cymus claviculus,440,253
Cymus melanocephalus,821,435
Cynips divisa,919,498
Cynips longiventris,2356,1242
Cynips quercusfolii,2488,1162
Cynodon dactylon,1295,285
Cynoglossum amabile,442,343
Cynoglossum officinale,2974,321
Cynomya mortuorum,1068,733
Cynosurus cristatus,2076,1248
Cyperus eragrostis,1356,833
Cyperus esculentus,325,176
Cyperus fuscus,920,177
Cyphostethus tristriatus,2026,1005
Cyprinus carpio,4530,1553
Cyrnus crenaticornis,302,215
Cyrnus flavidus,370,284
Cyrnus trimaculatus,607,381
Cyrtomium fortunei,844,157
Cystiphora sonchi,440,269
Cystoderma amianthinum,596,379
Cytisus scoparius,4815,1324
Dacrymyces stillatus,1812,1036
Dactylis glomerata,4943,2042
Dactylorhiza incarnata,1122,432
Dactylorhiza maculata,1515,789
Dactylorhiza majalis,2228,1513
Daedalea quercina,3457,992
Daedalea xantha,866,248
Daedaleopsis confragosa,3104,1362
Daedaleopsis tricolor,377,179
Daldinia concentrica,660,306
Dalopius marginatus,522,419
Dama dama,5031,456
Danthonia decumbens,2251,639
Dasineura crataegi,531,340
Dasineura fraxini,449,300
Dasineura irregularis,313,220
Dasineura pustulans,313,147
Dasineura sisymbrii,417,265
Dasineura ulmaria,789,404
Dasineura urticae,1489,1163
Dasypoda hirtipes,1388,1635
Dasysyrphus albostriatus,1517,1132
Dasysyrphus tricinctus,678,675
Dasysyrphus venustus,312,279
Datura stramonium,3230,1571
Daucus carota,4590,1926
Deconica montana,505,272
Deilephila elpenor,1960,1664
Deilephila porcellus,1321,577
Delichon urbicum,3080,1771
Delphinium ajacis,703,509
Delphinium consolida,536,171
Deltote bankiana,1309,1239
Deltote deceptoria,438,192
Deltote pygarga,1595,1430
Deltote uncula,558,283
Demeijerea rufipes,595,369
Demetrias atricapillus,540,316
Demetrias monostigma,365,198
Dendrocopos major,5844,2062
Dendrocoptes medius,4987,797
Dendrocygna bicolor,437,169
Dendrographa decolorans,661,359
Dendrolimus pini,535,213
Dendroxena quadrimaculata,889,876
Denticollis linearis,469,783
Deporaus betulae,437,376
Depressaria radiella,490,325
Deraeocoris flavilinea,769,1064
Deraeocoris lutescens,2558,1093
Deraeocoris ruber,1213,1420
Dermestes lardarius,316,240
Deroceras invadens,1760,891
Deroceras reticulatum,1613,1014
Deschampsia cespitosa,2300,795
Descurainia sophia,763,248
Dexia rustica,467,272
Dexiosoma caninum,576,295
Diachrysia chrysitis,2032,1559
Diacrisia sannio,1152,332
Diaea dorsata,1764,742
Dianthus armeria,784,389
Dianthus barbatus,495,382
Dianthus carthusianorum,1092,375
Dianthus deltoides,1841,961
Diaperis boleti,911,668
Diaphora mendica,804,834
Diarsia brunnea,415,305
Diarsia rubi,1510,1433
Diarthonis spadicea,1126,516
Diastrophus rubi,491,235
Dicallomera fascelina,1012,246
Dicentra formosa,446,227
Dicentrarchus labrax,1613,245
Dichetophora obliterata,362,236
Dichomeris marginella,364,214
Dichoropetalum carvifolia,942,96
Dicranella heteromalla,1823,798
Dicranopalpus ramosus,2511,1641
Dicranoweisia cirrata,1502,814
Dicranum scoparium,3349,962
Dictenidia bimaculata,492,533
Dictydiaethalium plumbeum,581,431
Dictyla humuli,971,515
Dictyonota tricornis,395,284
Dicyphus bolivari,461,279
Dicyphus epilobii,526,331
Dicyphus errans,439,260
Dicyphus globulifer,699,292
Dicyphus pallicornis,428,207
Didea fasciata,926,631
Didea intermedia,303,195
Didymium squamulosum,377,264
Didymodon vinealis,1004,632
Digitalis purpurea,4520,1627
Digitaria ischaemum,1148,711
Digitaria sanguinalis,1824,1095
Dikerogammarus villosus,304,233
Diloba caeruleocephala,708,247
Dilophus febrilis,675,1074
Dioctria atricapilla,591,783
Dioctria cothurnata,773,448
Dioctria hyalipennis,1091,1189
Dioctria linearis,582,650
Dioctria oelandica,626,637
Dioctria rufipes,600,706
Diogenes pugilator,1123,113
Dioxyna bidentis,397,297
Diphyus quadripunctorius,560,666
Diplazon laetatorius,779,737
Diploicia canescens,2300,996
Diplolepis eglanteriae,621,380
Diplolepis mayri,403,137
Diplolepis rosae,2959,1326
Diplolepis spinosissimae,307,77
Diplophyllum albicans,342,93
Diploschistes muscorum,970,215
Diplotaxis muralis,1671,453
Diplotaxis tenuifolia,3049,944
Diplotomma alboatrum,881,508
Diplotomma chlorophaeum,302,67
Dipsacus fullonum,4586,1692
Dipsacus laciniatus,631,205
Dipsacus pilosus,1886,415
Dipsacus strigosus,381,62
Dittrichia graveolens,468,208
Ditula angustiorana,1104,1086
Diurnea fagella,985,1171
Diurnea lipsiella,442,589
Dolichopus plumipes,432,351
Dolichopus ungulatus,435,475
Dolichovespula media,1048,1055
Dolichovespula saxonica,373,292
Dolomedes fimbriatus,346,113
Dolycoris baccarum,2957,1766
Donacaula forficella,960,735
Donacia clavipes,529,965
Donacia marginata,911,622
Donacia semicuprea,551,643
Donax vittatus,2962,230
Dorcus parallelipipedus,1327,413
Doronicum pardalianches,1563,397
Doronicum plantagineum,573,94
Dorytomus longimanus,715,503
Dosinia exoleta,500,70
Draba verna,2898,1776
Drapetisca socialis,675,299
Dreissena bugensis,1234,492
Dreissena polymorpha,751,475
Drepana curvatula,1084,688
Drepana falcataria,1896,1246
Drepanocladus aduncus,825,548
Dromius quadrimaculatus,1484,755
Drosera intermedia,2791,639
Drosera rotundifolia,2709,544
Drosophila suzukii,408,290
Drymonia dodonaea,509,486
Drymonia querna,767,635
Drymonia ruficornis,592,745
Drymus brunneus,329,228
Dryobates minor,4956,1108
Dryobotodes eremita,781,828
Dryocopus martius,5763,928
Dryocosmus kuriphilus,452,202
Dryomyza anilis,880,647
Dryophilocoris flavoquadrimaculatus,603,1221
Dryopteris affinis,1482,511
Dryopteris borreri,649,242
Dryopteris carthusiana,2840,1221
Dryopteris cristata,941,215
Dryopteris dilatata,4887,1598
Dryopteris filix-mas,4995,1706
Duponchelia fovealis,1071,522
Dypterygia scabriuscula,1399,1044
Dyseriocrania subpurpurella,549,482
Dysmachus trigonus,953,769
Dysphania ambrosioides,1419,271
Dysphania botrys,731,56
Dysphania pumilio,1088,226
Dysstroma truncata,1590,1249
Dytiscus marginalis,362,278
Earias clorana,1427,1078
Ebrechtella tricuspidata,348,85
Echinocardium cordatum,1956,156
Echinochloa crus-galli,2497,1795
Echinochloa muricata,402,298
Echinocyamus pusillus,1453,141
Echinoderma asperum,301,186
Echium plantagineum,817,746
Echium vulgare,3341,1406
Ecliptopera silaceata,1223,725
Ecnomus tenellus,1285,1055
Ectemnius cavifrons,357,280
Ectemnius cephalotes,474,470
Ectemnius continuus,886,907
Ectemnius lapidarius,326,257
Ectemnius lituratus,346,411
Ectinus aterrimus,325,469
Ectobius sylvestris,592,267
Ectoedemia occultella,355,242
Ectophasia crassipennis,1107,615
Ectopleura larynx,358,57
Ectropis crepuscularia,3223,1667
Egretta garzetta,5799,1112
Eilema caniola,1370,982
Elachista maculicerusella,1160,591
Elaeagnus angustifolia,451,106
Elaeagnus umbellata,441,207
Elanus caeruleus,589,214
Elaphria venustula,501,392
Elaphrus riparius,788,495
Elasmostethus interstinctus,2844,1508
Elasmucha grisea,2531,1534
Elatine hexandra,500,99
Electra pilosa,953,155
Electrophaes corylata,538,438
Eleocharis acicularis,1406,475
Eleocharis multicaulis,1772,399
Eleocharis palustris,2535,1476
Eleocharis quinqueflora,835,108
Eleocharis uniglumis,755,325
Elgiva cucularia,399,215
Elkalyce argiades,893,190
Elodea canadensis,942,360
Elodea nuttallii,2570,1348
Elophila nymphaeata,1947,1509
Elymus athericus,1941,434
Elymus caninus,449,68
Elymus repens,3206,1848
Ematurga atomaria,1934,602
Emberiza calandra,1810,234
Emberiza citrinella,5825,1216
Emberiza hortulana,473,288
Emberiza pusilla,923,165
Emberiza schoeniclus,5827,1877
Emmelina monodactyla,4153,1609
Empetrum nigrum,3622,278
Empicoris rubromaculatus,334,212
Empis diagramma,464,578
Empis livida,782,908
Empis opaca,431,806
Empis tessellata,865,1741
Empis trigramma,314,410
Enallagma cyathigerum,2753,1599
Enarmonia formosana,476,293
Encalypta streptocarpa,394,63
Enchylium tenax,846,422
Endomychus coccineus,1038,478
Endotricha flammealis,1337,1451
Endrosis sarcitrella,2928,1338
Enicospilus ramidulus,727,749
Ennomos alniaria,967,727
Ennomos autumnaria,358,433
Ennomos erosaria,1031,579
Ennomos fuscantaria,446,133
Ennomos quercinaria,344,183
Enoicyla pusilla,921,433
Enoplognatha ovata,1071,936
Ensis leei,3180,214
Ensis magnus,416,74
Ensis siliqua,377,57
Entoloma sericeum,346,212
Entomobrya nivalis,438,264
Entomophthora muscae,426,473
Epagoge grotiana,437,387
Epeoloides coecutiens,470,369
Epermenia chaerophyllellus,865,415
Ephemera danica,499,79
Ephemera glaucops,826,515
Ephemera vulgata,750,494
Ephialtes manifestator,301,256
Ephoron virgo,338,337
Epiblema aquana,380,191
Epiblema foenella,627,637
Epidalea calamita,3467,775
Epilobium ciliatum,1645,1069
Epilobium hirsutum,4418,2002
Epilobium montanum,1398,758
Epilobium obscurum,394,289
Epilobium palustre,837,324
Epilobium parviflorum,2616,1612
Epilobium roseum,642,388
Epilobium tetragonum,2489,1443
Epinotia abbreviana,354,231
Epinotia bilunana,458,492
Epinotia demarniana,312,238
Epinotia immundana,370,250
Epinotia nisella,435,257
Epinotia ramella,425,293
Epinotia tenerana,364,245
Epione repandaria,975,724
Epipactis helleborine,3648,1666
Epipactis palustris,2273,590
Epiphragma ocellare,405,438
Epirrhoe alternata,2346,1738
Epirrhoe tristata,444,174
Epirrita dilutata,313,351
Epistrophe eligans,847,1214
Epistrophe melanostoma,351,367
Epistrophe nitidicollis,463,546
Episyron rufipes,800,624
Episyrphus balteatus,3888,2063
Epitonium clathrus,1438,131
Epitriptus arthriticus,444,319
Epitriptus cingulatus,989,1115
Eptesicus serotinus,1313,541
Equisetum arvense,3766,1952
Equisetum fluviatile,2924,1141
Equisetum hyemale,1405,202
Equisetum palustre,2948,1284
Equisetum sylvaticum,659,87
Equisetum telmateia,2385,185
Equisetum variegatum,543,53
Equus caballus,2705,281
Eragrostis minor,1895,729
Eragrostis multicaulis,1901,939
Eragrostis pilosa,434,333
Erannis defoliaria,2449,1527
Eranthis hyemalis,1399,890
Eratigena atrica,580,393
Eremocoris plebejus,488,293
Eremophila alpestris,2455,297
Erica tetralix,4383,874
Erigeron acris,1696,252
Erigeron annuus,3416,1287
Erigeron bonariensis,1445,433
Erigeron canadensis,4491,1976
Erigeron floribundus,619,250
Erigeron karvinskianus,2397,643
Erigeron sumatrensis,3345,1347
Erinaceus europaeus,5550,2043
Eriocampa ovata,695,502
Eriocapitella hupehensis,503,281
Eriocheir sinensis,2246,519
Eriophorum angustifolium,2886,785
Eriophorum vaginatum,1688,220
Eriophyes exilis,502,336
Eriophyes inangulis,1105,806
Eriophyes laevis,722,378
Eriophyes sorbi,642,515
Eriophyes tiliae,1219,812
Eriosoma lanuginosum,430,238
Eriothrix rufomaculatus,595,1028
Eristalinus aeneus,1183,402
Eristalinus sepulchralis,1829,1425
Eristalis arbustorum,2055,1764
Eristalis intricaria,2448,1723
Eristalis nemorum,2151,1772
Eristalis pertinax,3169,1994
Eristalis rupium,317,141
Eristalis tenax,4117,2104
Erithacus rubecula,5844,2067
Erodium cicutarium,4664,1759
Erodium lebelii,722,105
Erpobdella octoculata,659,670
Eruca vesicaria,705,504
Erucastrum gallicum,492,129
Eryngium campestre,3507,456
Eryngium maritimum,3158,175
Eryngium planum,448,250
Erysimum cheiranthoides,2406,717
Erysimum cheiri,955,123
Erythromma lindenii,1376,433
Erythromma najas,2202,1587
Erythromma viridulum,1640,1633
Eschscholzia californica,1309,1032
Esox lucius,5381,1694
Esperia sulphurella,872,1157
Ethmia bipunctella,1001,489
Ethmia quadrillella,1272,736
Ethmia terminella,330,99
Euchoeca nebulata,840,705
Euclidia glyphica,1494,1038
Euclidia mi,616,503
Eucosma campoliliana,655,525
Eucosma cana,774,707
Eudemis porphyrana,423,328
Eudemis profundana,806,740
Eudonia delunella,337,496
Eudonia lacustrata,929,884
Eudonia mercurella,1135,1011
Eudonia truncicolella,987,732
Eugnorisma glareosa,318,170
Euleia heraclei,588,569
Eulithis mellinata,361,413
Eulithis prunata,907,600
Eulithis pyraliata,504,915
Eulithis testata,731,277
Eumerus funeralis,394,361
Euonymus europaeus,4303,1774
Euonymus fortunei,976,555
Euophrys frontalis,359,238
Eupatorium cannabinum,3763,1941
Eupeodes corollae,2193,1966
Eupeodes latifasciatus,880,769
Eupeodes luniger,1724,1197
Euphorbia amygdaloides,806,274
Euphorbia characias,562,263
Euphorbia cyparissias,2173,685
Euphorbia esula,3058,787
Euphorbia exigua,528,73
Euphorbia helioscopia,3686,1154
Euphorbia lathyris,2915,1184
Euphorbia maculata,1351,677
Euphorbia palustris,950,211
Euphorbia paralias,3427,141
Euphorbia peplus,4252,1611
Euphorbia stricta,326,63
Euphrasia stricta,2317,839
Euphyia unangulata,348,140
Eupithecia abbreviata,926,891
Eupithecia absinthiata,480,382
Eupithecia assimilata,307,246
Eupithecia centaureata,1870,1292
Eupithecia haworthiata,443,336
Eupithecia innotata,305,210
Eupithecia intricata,600,716
Eupithecia inturbata,472,692
Eupithecia linariata,415,235
Eupithecia nanata,1315,779
Eupithecia subfuscata,309,276
Eupithecia succenturiata,512,385
Eupithecia tantillaria,652,674
Eupithecia tenuiata,311,341
Eupithecia tripunctaria,713,592
Eupithecia virgaureata,571,401
Eupithecia vulgata,796,648
Euplagia quadripunctaria,916,507
Euplexia lucipara,1004,675
Eupoecilia ambiguella,300,183
Eupoecilia angustana,458,226
Euproctis chrysorrhoea,2149,588
Euproctis similis,2116,1104
Eupsilia transversa,2645,1092
Eupteryx decemnotata,355,120
Eurhynchium striatum,1195,595
Eurimyia lineatus,1089,603
Euroleon nostras,810,799
Eurydema oleracea,2232,1459
Eurydema ornata,343,190
Eurygaster testudinaria,1560,1053
Euspira catena,2535,178
